,Date,Open,High,Low,Close,Volume
,"Aug 2, 2019",143.07,144.03,142.33,143.80,"130,876"
,"Aug 6, 2019",141.49,143.77,139.89,140.76,"450,904"
,"Aug 7, 2019",140.53,143.38,140.27,143.13,"238,568"
,"Aug 8, 2019",141.50,141.50,133.41,136.30,"545,041"
,"Aug 9, 2019",136.00,139.60,136.00,136.90,"805,183"
,"Aug 12, 2019",136.50,137.79,134.73,135.09,"161,037"
,"Aug 13, 2019",134.86,135.32,133.84,134.47,"281,323"
,"Aug 14, 2019",133.80,135.07,133.50,134.65,"229,047"
,"Aug 15, 2019",134.56,134.60,131.38,131.47,"210,112"
,"Aug 16, 2019",132.20,133.99,132.00,133.43,"149,052"
,"Aug 19, 2019",133.95,135.21,133.84,134.55,"166,121"
,"Aug 20, 2019",134.38,134.38,132.80,132.91,"137,315"
,"Aug 21, 2019",133.48,133.58,132.60,133.05,"188,748"
,"Aug 22, 2019",133.10,134.91,132.30,133.80,"299,788"
,"Aug 23, 2019",133.56,133.95,131.31,131.55,"162,887"
,"Aug 26, 2019",132.30,134.87,132.00,134.21,"257,915"
,"Aug 27, 2019",134.25,135.68,133.05,135.15,"308,755"
,"Aug 28, 2019",134.90,135.20,133.99,134.84,"102,507"
,"Aug 29, 2019",135.10,136.90,134.50,134.58,"222,413"
,"Aug 30, 2019",134.00,134.97,133.13,134.48,"272,799"
,"Sep 3, 2019",134.33,134.75,133.35,133.93,"199,948"
,"Sep 4, 2019",134.36,136.00,134.31,134.65,"213,240"
,"Sep 5, 2019",135.25,137.44,135.25,136.56,"259,299"
,"Sep 6, 2019",136.35,137.88,136.16,137.71,"141,978"
,"Sep 9, 2019",137.65,138.90,136.63,138.72,"133,735"
,"Sep 10, 2019",138.79,140.36,137.76,140.09,"282,653"
,"Sep 11, 2019",140.27,144.04,138.93,142.71,"322,649"
,"Sep 12, 2019",142.89,143.22,141.18,142.38,"147,702"
,"Sep 13, 2019",142.31,143.00,140.89,141.13,"213,440"
,"Sep 16, 2019",141.04,142.83,140.91,141.61,"162,951"
,"Sep 17, 2019",141.27,142.95,140.76,142.64,"109,272"
,"Sep 18, 2019",142.32,142.85,141.58,141.70,"188,444"
,"Sep 19, 2019",142.21,144.48,141.36,144.00,"186,494"
,"Sep 20, 2019",144.05,149.11,144.05,148.82,"696,002"
,"Sep 23, 2019",148.35,148.99,147.29,147.88,"268,484"
,"Sep 24, 2019",147.88,149.64,146.96,147.57,"223,893"
,"Sep 25, 2019",147.50,148.98,147.36,147.58,"159,319"
,"Sep 26, 2019",147.85,148.04,147.34,148.01,"208,363"
,"Sep 27, 2019",147.99,148.40,147.35,148.03,"136,646"
,"Sep 30, 2019",147.80,150.48,147.80,148.67,"222,753"
,"Oct 1, 2019",148.96,150.60,146.97,147.49,"341,888"
,"Oct 2, 2019",146.73,147.50,145.73,147.14,"365,338"
,"Oct 3, 2019",146.81,146.81,142.48,143.19,"502,969"
,"Oct 4, 2019",143.10,144.75,143.10,144.64,"556,578"
,"Oct 7, 2019",144.42,144.50,143.35,143.81,"103,861"
